DealerName,TrackedItemName,ConversationType,LeadType,TrackingStatus,EventCategory,EventAction,EventLabel,Notes
"Steven Kia","GG Chat",Chat,Contact,Yes,Gubagoo,"Chat - Customer Sent Response",,
"Steven Kia","GG Lead",Form,Contact,Yes,Gubagoo,.*Lead.*,,
"Steven Kia","GG Text",Text,Contact,Yes,Gubagoo,"SMS Chat Started",,
"Steven Kia","Mobile Calls",Call,Contact,Yes,dw_leads,call,,
"Steven Kia","Order Parts",Form,"Order Parts/Accessories","Need Confirmation",dw_leads,form,order_parts,
"Steven Kia","Xtime Service",Form,"Schedule Service","Yes (No Source Attribution)",Xtime,"Appointment Confirmed",,
"Steven Kia","Sell Us Your Car",Form,"Sell Your Car","Need Confirmation",dw_leads,form,sell_your_car,
"Steven Kia","Military Specials",Form,"Special, Military/Student ","Need Confirmation",dw_leads,form,contact_us_military_special,
"Steven Kia","Monthly Specials",Form,"Special, Sales","Need Confirmation",dw_leads,form,contact_us_monthly_specials,
"Steven Kia","Contact Us - SRP",Form,SRP/VDP,Yes,dw_leads,form,contact_us_srp,
"Steven Kia","Online Shopper",Form,SRP/VDP,Yes,"Online Shopper","Lead Sent",,
"Steven Kia","Contact Us - VDP",Form,SRP/VDP,Yes,dw_leads,form,contact_us_vdp,
"Steven Kia",TradePending,Form,"Trade Tool",Yes,SNAP,submit,,
